algorithm,input_size,comparisons,swaps,array_accesses,time_ns,time_ms
MinHeap,100,698,628,728,594292,0
MinHeap,1000,12011,9590,10590,1800250,1
MinHeap,10000,169705,129390,139390,5269209,5
MinHeap,100000,2904545,1554300,1550066,35045545,35
